File,Category,Subcategory,More Accurate/Less Accurate,Cyclomatic Complexity,SLoC,Halstead Distinct Operators,Halstead Distinct Operands,Comments
takes-a-file-and-a-line-number-and-prints-the-line-number.py,data-analysis,data-storage,more,2,6,1,2,1
compresses-and-decompresses-a-text-file.py,data-analysis,data-storage,more,2,16,1,2,0
takes-a-json-file-and-reads-it-into-the-program-as-a-json-ob.py,data-analysis,data-storage,more,2,8,0,0,1
generates-some-amount-of-random-numbers-and-stores-them-in-a.py,data-analysis,data-storage,more,2,10,0,0,1
displays-a-discrete-graph-needs-a-representation-and-possib.py,data-analysis,data-visualizations,less,1,5,0,0,0
displays-a-box-and-whiskers-plot-for-an-array-of-integers.py,data-analysis,data-visualizations,more,1,7,0,0,4
creates-a-python-script-that-takes-a-csv-file-with-the-heade.py,data-analysis,data-visualizations,more,2,7,0,0,0
when-given-a-list-of-strings-determines-the-statistically-s.py,data-analysis,data-visualizations,more,7,20,6,13,0
when-given-a-csv-file-with-an-id-column-and-a-timestamp-colu.py,data-analysis,data-visualizations,more,6,42,1,3,2
graphs-an-array-of-tuples-x-y-on-a-cartesian-coordinate-p.py,data-analysis,data-visualizations,more,1,6,1,6,0
determines-how-far-each-number-in-a-list-of-numbers-is-from.py,data-analysis,statistics,more,2,7,1,2,0
finds-the-outliers-in-a-data-set.py,data-analysis,statistics,more,5,11,6,11,1
finds-the-standard-deviation-of-a-list-of-numbers.py,data-analysis,statistics,more,3,11,4,12,0
finds-the-mean-median-mode-and-range-of-a-list-of-numbers.py,data-analysis,statistics,more,7,31,8,24,0
when-given-a-list-of-numbers-determines-how-far-each-number.py,data-analysis,statistics,more,3,6,3,6,0
when-given-a-csv-and-two-columns-from-the-csv-perform-a-lin.py,data-analysis,ml-predictive-models,more,1,12,0,0,7
finds-a-dataset-of-your-choice-online-and-create-a-predictiv.py,data-analysis,ml-predictive-models,more,1,30,0,0,11
creates-a-pie-plot-to-get-the-frequency-of-the-three-species.py,data-analysis,iris-flower-dataset-problems,more,1,7,0,0,0
creates-a-graph-to-see-how-the-length-and-width-of-sepalleng.py,data-analysis,iris-flower-dataset-problems,more,1,8,0,0,1
loads-the-iris-data-from-a-given-csv-file-into-a-dataframe-a.py,data-analysis,iris-flower-dataset-problems,more,2,10,1,2,2
views-basic-statistical-details-like-percentile-mean-std-e.py,data-analysis,iris-flower-dataset-problems,more,1,11,1,6,0
creates-a-plot-to-get-a-general-statistics-of-iris-data.py,data-analysis,iris-flower-dataset-problems,less,1,8,0,0,0
determines-the-sentiment-of-an-amazon-product-review.py,data-analysis,sentiment-dataset-problems,more,6,52,4,11,5
takes-all-of-the-datasets-and-normalizes-the-sentences.py,data-analysis,sentiment-dataset-problems,more,4,18,1,2,0
determines-the-sentiment-of-a-comment-on-imdb.py,data-analysis,sentiment-dataset-problems,more,1,11,0,0,0
takes-one-of-the-datasets-and-vectorizes-the-text.py,data-analysis,sentiment-dataset-problems,more,1,13,0,0,0
takes-all-of-the-datasets-and-removes-the-stop-words-from-th.py,data-analysis,sentiment-dataset-problems,more,5,18,2,3,0
recursively-sorts-a-stack-of-integers-that-you-randomly-gene.py,algorithms-data-structures,recursion,more,5,20,5,11,12
recursively-deletes-every-node-in-an-arbitrarily-long-linked.py,algorithms-data-structures,recursion,less,12,39,1,2,6
recursively-calculates-the-value-of-n-factorial.py,algorithms-data-structures,recursion,more,2,2,3,3,0
uses-recursion-to-find-the-occurences-of-a-letter-in-a-strin.py,algorithms-data-structures,recursion,more,3,10,3,6,0
uses-several-common-sorting-algorithms-to-sort-an-array-of-r.py,algorithms-data-structures,general,more,30,100,12,74,100
showcases-the-many-ways-to-find-the-length-of-a-list.py,algorithms-data-structures,general,more,6,64,4,46,10
finds-the-maximum-of-two-numbers-without-using-the-max-funct.py,algorithms-data-structures,general,more,3,12,2,4,1
generates-a-binary-search-tree-and-prints-a-top-view-of-it-i.py,algorithms-data-structures,general,less,9,37,4,7,11
generates-a-binary-search-tree-and-performs-a-postorder-trav.py,algorithms-data-structures,general,less,8,38,8,19,29
determines-whether-or-not-a-string-is-a-palindrome-or-is-sym.py,algorithms-data-structures,general,more,9,39,8,25,21
finds-the-length-of-a-string-in-python-in-4-different-ways.py,algorithms-data-structures,general,more,5,25,3,11,3
prints-the-even-length-words-in-a-string.py,algorithms-data-structures,general,more,3,9,2,4,4
reverses-words-in-a-given-string-in-python.py,algorithms-data-structures,general,more,2,6,1,1,6
implements-a-simple-string-hashing-algorithm-and-uses-it-on.py,algorithms-data-structures,general,more,5,17,6,19,0
generates-a-binary-search-tree-and-clones-it.py,algorithms-data-structures,general,more,10,52,4,10,27
finds-the-minimum-of-two-numbers-without-using-the-min-funct.py,algorithms-data-structures,general,more,3,12,2,4,1
reverses-a-random-linked-list.py,algorithms-data-structures,general,more,8,35,1,2,6
hashes-a-provided-photo-filetype-png.py,algorithms-data-structures,general,more,5,17,2,3,6
creates-an-arbitrarily-long-linked-list-of-random-numbers.py,algorithms-data-structures,implementation,more,14,50,2,6,7
creates-and-randomly-populates-an-arbitrarily-large-binary-s.py,algorithms-data-structures,implementation,more,40,96,5,28,2
implements-a-binary-search-tree-in-a-class.py,algorithms-data-structures,implementation,more,38,86,5,26,0
implements-a-linked-list-data-structure-in-python.py,algorithms-data-structures,implementation,more,38,122,5,39,19
creates-a-representation-of-a-matrix-using-lists-and-that-p.py,algorithms-data-structures,implementation,more,10,26,2,6,0
sorts-a-random-array-of-numbers-as-fast-as-possible-and-tell.py,algorithms-data-structures,code-optimization-time-complexity,more,9,25,6,14,18
allows-you-to-choose-between-several-different-types-of-frac.py,visual-graphical-drawing,fractals,more,6,84,8,34,17
displays-a-tree-fractal.py,visual-graphical-drawing,fractals,more,2,18,5,9,14
displays-a-fractal-triangle.py,visual-graphical-drawing,fractals,more,1,40,5,13,0
displays-a-koch-snowflake-of-n-user-provided-iterations.py,visual-graphical-drawing,fractals,more,3,25,3,9,5
uses-the-python-turtle-module-to-draw-the-letters-gpt-usin.py,visual-graphical-drawing,drawing-common-objects,less,2,32,0,0,9
uses-the-python-turtle-module-to-draw-a-2d-8x8-chessboard-of.py,visual-graphical-drawing,drawing-common-objects,more,6,26,4,9,19
uses-the-python-turtle-module-draw-a-smiley-face.py,visual-graphical-drawing,drawing-common-objects,more,22,94,3,12,0
uses-the-python-turtle-module-to-draw-a-simple-panda.py,visual-graphical-drawing,drawing-common-objects,more,1,50,1,3,27
prints-a-half-diamond-star-pattern-using-text-with-a-maximum.py,visual-graphical-drawing,drawing-common-objects,more,5,11,1,2,11
prints-pascals-triangle-to-n-rows.py,visual-graphical-drawing,drawing-common-objects,less,4,8,4,9,5
accepts-a-png-jpeg-or-gif-and-flips-it-vertically-or-hori.py,visual-graphical-drawing,image-processing,more,5,25,4,11,8
accepts-a-png-and-deep-fries-it.py,visual-graphical-drawing,image-processing,more,3,29,4,12,3
accepts-a-stl-file-and-displays-its-contents.py,visual-graphical-drawing,image-processing,less,3,23,2,5,4
accepts-a-png-and-inverts-it.py,visual-graphical-drawing,image-processing,more,1,4,0,0,0
accepts-a-png-and-makes-all-of-the-white-in-the-picture-tran.py,visual-graphical-drawing,image-processing,more,7,25,4,14,1
accepts-a-png-and-grayscales-it.py,visual-graphical-drawing,image-processing,more,1,8,0,0,4
creates-a-user-interface-that-places-a-circle-of-random-size.py,visual-graphical-drawing,gui,more,2,30,4,8,7
plays-a-sound-after-a-button-gets-clicked.py,visual-graphical-drawing,gui,more,1,15,0,0,0
creates-a-ui-that-is-a-basic-desktop-program-with-a-title-ba.py,visual-graphical-drawing,gui,less,1,20,0,0,2
displays-a-timer.py,visual-graphical-drawing,gui,more,2,14,4,11,9
allows-you-to-draw-a-line-between-two-points-that-are-clicke.py,visual-graphical-drawing,gui,more,3,26,3,8,8
shows-a-single-select-box-with-some-randomly-generated-optio.py,visual-graphical-drawing,gui,more,2,28,0,0,2
causes-an-empty-window-gui-to-appear-the-window-disappears.py,visual-graphical-drawing,gui,more,1,9,0,0,1
generates-random-pixel-art-images-of-any-size.py,visual-graphical-drawing,image-generation,more,10,49,7,61,0
implements-conway-s-game-of-life.py,visual-graphical-drawing,image-generation,more,23,49,8,35,13
generates-a-collage-from-pictures-on-the-internet-after-bein.py,visual-graphical-drawing,image-generation,less,5,46,2,5,4
creates-a-program-that-causes-the-python-turtle-to-travel-wh.py,visual-graphical-drawing,image-generation,more,2,7,1,2,3
when-given-integral-number-n-write-a-program-to-generate-a.py,mathematics,general,more,2,5,2,3,0
